station_name X Y Z dish_dia el_low el_high SEFD altitude
PM01 2225113.044504713 -5440122.82199921 -2481517.729290547 12.0 15.0 85.0 110.0 5000.0
PM02 2225042.2759701335 -5440125.513531683 -2481574.898499307 12.0 15.0 85.0 110.0 5000.0
PM03 2225045.995567431 -5440149.141333192 -2481520.1181817283 12.0 15.0 85.0 110.0 5000.0
PM04 2225104.700762924 -5440102.471096151 -2481568.689030059 12.0 15.0 85.0 110.0 5000.0
DA41 2225147.9471345404 -5439675.035508215 -2482445.480510083 12.0 15.0 85.0 110.0 5000.0
DA42 2225279.5824814443 -5439469.356358952 -2482833.131541281 12.0 15.0 85.0 110.0 5000.0
DA43 2224801.833373035 -5439786.464837801 -2482539.2523911325 12.0 15.0 85.0 110.0 5000.0
DA44 2224236.1764493277 -5439969.731673442 -2482606.25830429 12.0 15.0 85.0 110.0 5000.0
DA46 2226329.779227636 -5440032.868214295 -2480531.344056314 12.0 15.0 85.0 110.0 5000.0
DA48 2224116.1492147627 -5442159.477771389 -2477930.4466035836 12.0 15.0 85.0 110.0 5000.0
DA49 2224469.6015152894 -5440842.525282935 -2480524.656710071 12.0 15.0 85.0 110.0 5000.0
DA50 2225718.601321345 -5439808.037381139 -2481613.9356131246 12.0 15.0 85.0 110.0 5000.0
DA51 2225714.6304718265 -5440369.467377985 -2480423.2401584107 12.0 15.0 85.0 110.0 5000.0
DA54 2219253.6374969133 -5442894.20313703 -2479851.6082130144 12.0 15.0 85.0 110.0 5000.0
DA55 2226163.0386222983 -5439682.716178967 -2481421.9809546075 12.0 15.0 85.0 110.0 5000.0
DA60 2226265.1874913964 -5438432.8250348745 -2484137.882763216 12.0 15.0 85.0 110.0 5000.0
DA63 2227320.318724831 -5436658.137354828 -2486450.5872648633 12.0 15.0 85.0 110.0 5000.0
DA64 2229254.5185322375 -5440457.759733018 -2476683.550966725 12.0 15.0 85.0 110.0 5000.0
DA65 2227504.6268064664 -5439905.323708629 -2479594.884794959 12.0 15.0 85.0 110.0 5000.0
DV01 2225669.040336414 -5439445.5285974 -2482517.526351266 12.0 15.0 85.0 110.0 5000.0
DV02 2225434.8114333632 -5439701.864547103 -2482133.2878505294 12.0 15.0 85.0 110.0 5000.0
DV04 2229234.1408866644 -5440047.53818713 -2477588.720514617 12.0 15.0 85.0 110.0 5000.0
DV07 2225871.283887335 -5439985.174855396 -2481088.601823101 12.0 15.0 85.0 110.0 5000.0
DV09 2225117.8084925353 -5440052.280898753 -2481665.800592162 12.0 15.0 85.0 110.0 5000.0
DV10 2226186.007603583 -5439426.099497582 -2482003.419656654 12.0 15.0 85.0 110.0 5000.0
