station_name X Y Z dish_dia el_low el_high SEFD altitude
dsa-30 -2403259.4213654245 -4480346.930268689 3840267.010119348 5.0 15.0 85.0 110.0 5000.0
dsa-31 -2403018.97503071 -4480489.072561549 3840252.212811344 5.0 15.0 85.0 110.0 5000.0
dsa-32 -2402773.545705572 -4480280.296025751 3840647.0645993757 5.0 15.0 85.0 110.0 5000.0
dsa-33 -2403048.432462488 -4480267.460932155 3840490.5906388005 5.0 15.0 85.0 110.0 5000.0
dsa-34 -2403089.061111327 -4479883.996936927 3840909.512810179 5.0 15.0 85.0 110.0 5000.0
dsa-35 -2402716.7066314695 -4479828.528964803 3841205.870559638 5.0 15.0 85.0 110.0 5000.0
dsa-36 -2403160.2777717207 -4479677.735750183 3841104.077456833 5.0 15.0 85.0 110.0 5000.0
dsa-37 -2402517.544248132 -4480451.295311889 3840608.532050748 5.0 15.0 85.0 110.0 5000.0
dsa-38 -2402590.1680427254 -4479685.454274597 3841450.498617868 5.0 15.0 85.0 110.0 5000.0
dsa-39 -2402962.0519181746 -4479412.513566948 3841534.8990459912 5.0 15.0 85.0 110.0 5000.0
dsa-40 -2403118.7032513493 -4479550.54216424 3841277.346938146 5.0 15.0 85.0 110.0 5000.0
dsa-41 -2403070.2356561897 -4479518.153963389 3841345.0800240734 5.0 15.0 85.0 110.0 5000.0
dsa-42 -2402928.0799033185 -4479509.717751506 3841443.462573487 5.0 15.0 85.0 110.0 5000.0
dsa-43 -2406150.811304169 -4480881.630508862 3837845.281263781 5.0 15.0 85.0 110.0 5000.0
dsa-44 -2406021.249374682 -4481526.1643759925 3837179.341216315 5.0 15.0 85.0 110.0 5000.0
dsa-45 -2405901.3853472183 -4481644.060504557 3837117.4714775984 5.0 15.0 85.0 110.0 5000.0
dsa-46 -2405834.188070012 -4481688.851141028 3837107.4667482344 5.0 15.0 85.0 110.0 5000.0
dsa-47 -2405998.623938563 -4481822.8562141685 3836849.72364582 5.0 15.0 85.0 110.0 5000.0
dsa-48 -2404749.775069712 -4482426.3838421535 3836928.9683069983 5.0 15.0 85.0 110.0 5000.0
dsa-49 -2404865.4946003905 -4482312.669221368 3836988.5770907346 5.0 15.0 85.0 110.0 5000.0
dsa-50 -2405464.684148156 -4482063.219380567 3836904.077997092 5.0 15.0 85.0 110.0 5000.0
dsa-51 -2405198.7821462224 -4481988.611862554 3837156.2547093905 5.0 15.0 85.0 110.0 5000.0
dsa-52 -2405387.602556272 -4481824.21791867 3837229.0104689198 5.0 15.0 85.0 110.0 5000.0
dsa-53 -2405270.850208462 -4482297.949008334 3836752.9626772506 5.0 15.0 85.0 110.0 5000.0
dsa-54 -2405095.0595280486 -4482321.325951053 3836835.4548213105 5.0 15.0 85.0 110.0 5000.0
dsa-55 -2404894.2484767023 -4482629.9724630155 3836603.055031752 5.0 15.0 85.0 110.0 5000.0
dsa-56 -2404953.003586178 -4482762.094678962 3836413.36660605 5.0 15.0 85.0 110.0 5000.0
dsa-57 -2404542.7711928724 -4482980.792828291 3836415.7102970453 5.0 15.0 85.0 110.0 5000.0
dsa-58 -2405464.316292595 -4482350.803387329 3836571.1382560674 5.0 15.0 85.0 110.0 5000.0
dsa-59 -2405600.2545051235 -4482445.158304761 3836377.093544142 5.0 15.0 85.0 110.0 5000.0
dsa-60 -2405157.2129002125 -4482906.860299905 3836118.3655498386 5.0 15.0 85.0 110.0 5000.0
dsa-61 -2405006.2489572894 -4482961.990407793 3836148.5962203965 5.0 15.0 85.0 110.0 5000.0
dsa-62 -2405190.0919206934 -4483097.916817245 3835876.530319549 5.0 15.0 85.0 110.0 5000.0
dsa-63 -2404274.82431649 -4482588.3809986655 3837037.341197676 5.0 15.0 85.0 110.0 5000.0
dsa-64 -2404835.3746805065 -4482363.886983366 3836948.015258728 5.0 15.0 85.0 110.0 5000.0
dsa-65 -2404510.919669422 -4482076.091231578 3837483.6702394458 5.0 15.0 85.0 110.0 5000.0
dsa-66 -2405361.7458503246 -4481675.79209385 3837417.0804246785 5.0 15.0 85.0 110.0 5000.0
dsa-67 -2405329.035658373 -4481557.421671696 3837574.6028300487 5.0 15.0 85.0 110.0 5000.0
dsa-68 -2404771.988972421 -4482042.897253246 3837359.3950090054 5.0 15.0 85.0 110.0 5000.0
dsa-69 -2404989.527010693 -4482089.247861367 3837170.100643493 5.0 15.0 85.0 110.0 5000.0
dsa-70 -2404508.757668567 -4482346.634996312 3837171.590128398 5.0 15.0 85.0 110.0 5000.0
dsa-71 -2404855.295621335 -4481726.77859719 3837673.694683933 5.0 15.0 85.0 110.0 5000.0
dsa-72 -2405106.2521936465 -4481657.53551787 3837597.486217395 5.0 15.0 85.0 110.0 5000.0
dsa-73 -2405333.115666024 -4481409.90339696 3837742.961103715 5.0 15.0 85.0 110.0 5000.0
dsa-74 -2405420.7683667326 -4481267.923670573 3837852.8100358364 5.0 15.0 85.0 110.0 5000.0
dsa-75 -2405641.412687943 -4481321.807823745 3837652.8517596675 5.0 15.0 85.0 110.0 5000.0
dsa-76 -2404609.8214942357 -4481730.041942105 3837822.9240120524 5.0 15.0 85.0 110.0 5000.0
dsa-77 -2404583.2890995843 -4481839.654677116 3837712.4748112266 5.0 15.0 85.0 110.0 5000.0
dsa-78 -2405060.146679728 -4481057.089883812 3838321.8473490924 5.0 15.0 85.0 110.0 5000.0
dsa-79 -2405255.029777716 -4481348.897384792 3837862.3100156696 5.0 15.0 85.0 110.0 5000.0
dsa-80 -2405192.8758624895 -4480908.074642298 3838411.7497389847 5.0 15.0 85.0 110.0 5000.0
dsa-81 -2405460.6325755054 -4480970.233078366 3838172.8393301903 5.0 15.0 85.0 110.0 5000.0
dsa-82 -2405685.9880235307 -4480818.581920341 3838208.059270263 5.0 15.0 85.0 110.0 5000.0
dsa-83 -2406015.337753148 -4480714.166776398 3838123.7336562937 5.0 15.0 85.0 110.0 5000.0
dsa-84 -2405890.7630391913 -4481324.545681614 3837494.2538322555 5.0 15.0 85.0 110.0 5000.0
dsa-85 -2406212.1669995957 -4480693.905281147 3838024.5183883742 5.0 15.0 85.0 110.0 5000.0
dsa-86 -2403879.9575206647 -4482378.0726745855 3837527.115559679 5.0 15.0 85.0 110.0 5000.0
dsa-87 -2403875.367605825 -4482251.225055413 3837676.9308378417 5.0 15.0 85.0 110.0 5000.0
dsa-88 -2404383.3515801607 -4482041.037898939 3837603.7961547077 5.0 15.0 85.0 110.0 5000.0
dsa-89 -2403935.3823261866 -4481756.760406033 3838212.3646043125 5.0 15.0 85.0 110.0 5000.0
dsa-90 -2403851.764211238 -4481951.414967853 3838038.976478072 5.0 15.0 85.0 110.0 5000.0
dsa-91 -2404012.871915483 -4482122.962973281 3837739.814026991 5.0 15.0 85.0 110.0 5000.0
dsa-92 -2403859.5837999876 -4482285.095784502 3837647.529676333 5.0 15.0 85.0 110.0 5000.0
dsa-93 -2404270.0789695657 -4482132.122946918 3837568.8787398445 5.0 15.0 85.0 110.0 5000.0
dsa-94 -2404365.302591011 -4481886.718655965 3837793.8269578214 5.0 15.0 85.0 110.0 5000.0
dsa-95 -2403967.789891338 -4481732.254790389 3838220.554195105 5.0 15.0 85.0 110.0 5000.0
dsa-96 -2404300.4512388376 -4481442.591907958 3838348.775783098 5.0 15.0 85.0 110.0 5000.0
dsa-97 -2404041.3171907533 -4481506.437577849 3838436.334422035 5.0 15.0 85.0 110.0 5000.0
dsa-98 -2403851.8472613744 -4481605.710830827 3838439.426514807 5.0 15.0 85.0 110.0 5000.0
dsa-99 -2404494.533663291 -4481685.932900976 3837945.886477545 5.0 15.0 85.0 110.0 5000.0
dsa-100 -2404490.679018499 -4481665.075496135 3837972.452689021 5.0 15.0 85.0 110.0 5000.0
dsa-101 -2404703.24554956 -4481143.984338098 3838443.6443153042 5.0 15.0 85.0 110.0 5000.0
