station_name X Y Z dish_dia el_low el_high SEFD altitude
A0042 -2036783.8310643977 -4485754.471813389 4040069.6498596705 5.0 15.0 85.0 110.0 5000.0
A0043 -2037242.6992904665 -4485643.108826749 4039962.577674174 5.0 15.0 85.0 110.0 5000.0
A0044 -2037387.683691072 -4484278.521607739 4041408.9035174423 5.0 15.0 85.0 110.0 5000.0
A0045 -2036072.6852804532 -4485283.374382832 4040959.5273287557 5.0 15.0 85.0 110.0 5000.0
A0046 -2037028.1195845804 -4484272.813134054 4041595.228187871 5.0 15.0 85.0 110.0 5000.0
A0047 -2037618.5890574264 -4485346.303490159 4040102.507705851 5.0 15.0 85.0 110.0 5000.0
A0048 -2036189.5006171544 -4484704.644236012 4041539.043795898 5.0 15.0 85.0 110.0 5000.0
A0049 -2037845.5265806632 -4484368.023902546 4041080.9511503517 5.0 15.0 85.0 110.0 5000.0
A0050 -2036218.6750692427 -4484623.0162181035 4041614.414548111 5.0 15.0 85.0 110.0 5000.0
A0051 -2037793.7225156948 -4484808.116609006 4040616.884595116 5.0 15.0 85.0 110.0 5000.0
A0052 -2036039.7577403574 -4485337.729368827 4040916.078574409 5.0 15.0 85.0 110.0 5000.0
A0053 -2036095.0736246435 -4484773.467934393 4041510.438109048 5.0 15.0 85.0 110.0 5000.0
A0054 -2036731.168845821 -4485832.029204937 4040009.6922643227 5.0 15.0 85.0 110.0 5000.0
A0055 -2036123.0272605745 -4484693.92727695 4041584.1216640538 5.0 15.0 85.0 110.0 5000.0
A0056 -2037834.0952973461 -4484831.087751688 4040571.3237052676 5.0 15.0 85.0 110.0 5000.0
A0057 -2036170.77887808 -4484625.616143147 4041635.5178468786 5.0 15.0 85.0 110.0 5000.0
A0058 -2036672.8580015998 -4485854.252795808 4040014.251598881 5.0 15.0 85.0 110.0 5000.0
A0059 -2037271.6819320917 -4484201.076167011 4041552.3439811836 5.0 15.0 85.0 110.0 5000.0
A0060 -2035990.3007227257 -4485409.251900046 4040861.142176111 5.0 15.0 85.0 110.0 5000.0
A0061 -2037877.0095536152 -4484905.57414143 4040465.9762386633 5.0 15.0 85.0 110.0 5000.0
A0062 -2037664.9095757871 -4484458.636511617 4041071.53908298 5.0 15.0 85.0 110.0 5000.0
A0063 -2036152.5851500006 -4485663.224771511 4040495.823240056 5.0 15.0 85.0 110.0 5000.0
A0064 -2036003.5670468858 -4484799.529116806 4041527.5030743866 5.0 15.0 85.0 110.0 5000.0
A0065 -2037875.519435564 -4485063.295570237 4040289.592120504 5.0 15.0 85.0 110.0 5000.0
A0066 -2035976.6463068416 -4485489.564630862 4040776.882065009 5.0 15.0 85.0 110.0 5000.0
A0067 -2037904.0875534464 -4484720.665566888 4040658.224503239 5.0 15.0 85.0 110.0 5000.0
A0068 -2036329.5864788392 -4484332.136038012 4041879.493244393 5.0 15.0 85.0 110.0 5000.0
A0069 -2037116.189872956 -4485904.364013594 4039734.5788721433 5.0 15.0 85.0 110.0 5000.0
A0070 -2037239.1643792223 -4484095.507500127 4041684.969209079 5.0 15.0 85.0 110.0 5000.0
A0071 -2037885.8089038918 -4484494.322820013 4040921.5528213447 5.0 15.0 85.0 110.0 5000.0
A0072 -2037101.3100639782 -4484071.989326768 4041779.9049578276 5.0 15.0 85.0 110.0 5000.0
A0073 -2037986.067920828 -4484715.929898684 4040621.9955847296 5.0 15.0 85.0 110.0 5000.0
A0074 -2037942.7611148693 -4485198.829923368 4040103.0521401525 5.0 15.0 85.0 110.0 5000.0
A0075 -2037673.7110588541 -4485621.60764341 4039767.384987545 5.0 15.0 85.0 110.0 5000.0
A0076 -2035823.962835752 -4485416.704830559 4040936.9993673568 5.0 15.0 85.0 110.0 5000.0
A0077 -2036607.0640539979 -4486012.84308854 4039872.270070905 5.0 15.0 85.0 110.0 5000.0
A0078 -2036984.3490337576 -4485998.1761420835 4039696.7522194474 5.0 15.0 85.0 110.0 5000.0
A0079 -2036514.775142853 -4484144.9626962645 4041995.2781712506 5.0 15.0 85.0 110.0 5000.0
A0080 -2037953.715550829 -4485285.824272584 4040000.399629074 5.0 15.0 85.0 110.0 5000.0
A0081 -2037517.9783120542 -4484102.357161565 4041537.8108687717 5.0 15.0 85.0 110.0 5000.0
A0082 -2038066.847373217 -4484107.850493765 4041256.8527172473 5.0 15.0 85.0 110.0 5000.0
A0083 -2035886.3114193808 -4485148.241166354 4041201.7791401893 5.0 15.0 85.0 110.0 5000.0
