station_name X Y Z dish_dia el_low el_high SEFD altitude
m039 5108995.841450941 2006982.1189017473 -3239463.5813773163 13.5 15.0 85.0 110.0 1000.0
m040 5109040.863906835 2006698.328029015 -3239566.503392346 13.5 15.0 85.0 110.0 1000.0
m041 5109158.685729059 2006464.5311491527 -3239522.088402983 13.5 15.0 85.0 110.0 1000.0
m042 5109280.357026713 2006432.6365745994 -3239348.227095367 13.5 15.0 85.0 110.0 1000.0
m043 5109533.612994713 2006244.0292461156 -3239061.144608984 13.5 15.0 85.0 110.0 1000.0
m044 5109972.699386748 2006130.3757383255 -3238431.52176684 13.5 15.0 85.0 110.0 1000.0
m045 5110157.095304995 2005196.4430005813 -3238718.8430690356 13.5 15.0 85.0 110.0 1000.0
m046 5110723.700941899 2005811.697104781 -3237438.2905798773 13.5 15.0 85.0 110.0 1000.0
m047 5109331.745956505 2006220.13139806 -3239396.763873497 13.5 15.0 85.0 110.0 1000.0
m048 5111655.260922166 2004739.749548672 -3236633.1052475525 13.5 15.0 85.0 110.0 1000.0
m049 5110888.06656438 2003578.5873204677 -3238574.254511529 13.5 15.0 85.0 110.0 1000.0
m050 5109713.6534868665 2004786.4686150164 -3239676.2400869066 13.5 15.0 85.0 110.0 1000.0
m051 5109311.351489685 2005919.935113488 -3239613.4750407217 13.5 15.0 85.0 110.0 1000.0
m052 5109039.422732197 2006089.308403023 -3239941.073313754 13.5 15.0 85.0 110.0 1000.0
m053 5108748.655700241 2006622.4710481798 -3240077.320541445 13.5 15.0 85.0 110.0 1000.0
m054 5108814.452029289 2007575.0841672644 -3239384.667574189 13.5 15.0 85.0 110.0 1000.0
m055 5108974.663302383 2007992.3398763617 -3238870.2866998403 13.5 15.0 85.0 110.0 1000.0
m056 5109003.200202344 2008429.669353993 -3238550.478203516 13.5 15.0 85.0 110.0 1000.0
m057 5110793.520952139 2007732.149396201 -3236139.971630114 13.5 15.0 85.0 110.0 1000.0
m058 5109608.665909185 2009964.6397019636 -3236636.2094202847 13.5 15.0 85.0 110.0 1000.0
m059 5108382.618088246 2010429.232487033 -3238301.702006154 13.5 15.0 85.0 110.0 1000.0
m060 5107254.013471882 2009699.3572179652 -3240542.587340528 13.5 15.0 85.0 110.0 1000.0
m061 5108278.559161539 2006410.136906058 -3240956.885313587 13.5 15.0 85.0 110.0 1000.0
m062 5108713.98241022 2005051.0165491276 -3241111.829132157 13.5 15.0 85.0 110.0 1000.0
m063 5109748.526320712 2003331.232038675 -3240538.853735712 13.5 15.0 85.0 110.0 1000.0
